mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.14909615516662597,0.002607107162475586,0.1,0.10000035728984562,"(5,)",0.41246263829,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 0.41246263829013563}",173,0.1,0.1,0.1,0.09999999999999999,0.10000000000000002,0.09998999399639784,0.09999999999999999,0.1,0.09999999999999999,0.10001179245283019,0.02420697409362118,0.0003751836757898379,1.0747897164823705e-17,6.907152404137439e-06
0.1326526165008545,0.0027071952819824217,0.1,0.1,"(5,)",1.19377664171,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 1.1937766417144382}",173,0.1,0.1,0.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.09999999999999999,0.1,0.09999999999999999,0.10000000000000002,0.015962589380058793,0.0002459046682090547,1.0747897164823705e-17,1.0749688212373146e-17
0.13977160453796386,0.002707242965698242,0.1,0.10000235876872272,"(5,)",3.45510729459,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 3.4551072945922181}",173,0.1,0.1,0.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.09999999999999999,0.10001179384361365,0.09999999999999999,0.10000000000000002,0.02089181863041371,0.0005111555330678129,1.0747897164823705e-17,4.717537445460274e-06
0.1526057243347168,0.0027073383331298827,0.1,0.1,"(5,)",10.0,"{'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 10.0}",173,0.10000000000000002,0.1,0.1,0.09999999999999999,0.10000000000000002,0.09999999999999999,0.09999999999999999,0.1,0.09999999999999999,0.10000000000000002,0.035272941575630386,0.0006016176135867553,1.2412360569668331e-17,1.0749688212373146e-17
4.950664901733399,0.003208780288696289,0.10099351124214344,0.10162504239162237,"(10,)",1e-05,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 1.0000000000000001e-05}",131,0.10106054366234254,0.10168862632530522,0.10092698131966776,0.09977355689656776,0.10086134273642126,0.10270085573948276,0.10207740795313773,0.10159419608295618,0.10004093829011972,0.10236797691379991,0.5759235530114898,0.00024574905727732125,0.0006492192231363466,0.0010141320440116529
2.3614843845367433,0.003108358383178711,0.10218011787341662,0.10281137071569355,"(10,)",2.89426612472e-05,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 2.8942661247167517e-05}",121,0.10173359910001736,0.1022488513747475,0.10615757046286438,0.10248944995208734,0.09958688775753,0.10194096181093891,0.10179268146373356,0.1036519661273315,0.10162933555905602,0.10372562431336242,0.2646884025753566,0.0005847702866417247,0.0021541672497650045,0.0007375815799452448
1.3774680614471435,0.0029076576232910157,0.10416901198283994,0.10377546976202123,"(10,)",8.37677640068e-05,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 8.3767764006829236e-05}",111,0.10219029121082396,0.10355255021157522,0.10605451037090308,0.10226813306005332,0.10440345949700636,0.10312351935279578,0.10480875266250735,0.10661642296558116,0.10338883660019096,0.10331672322010063,0.4362966872870159,0.00020046239802090236,0.0013074058147633492,0.0014851437566580088
1.3862881660461426,0.0031082630157470703,0.10980072642903914,0.1111141015396484,"(10,)",0.000242446201708,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 0.00024244620170823283}",80,0.11437006878222987,0.11094363187083142,0.10886373417291444,0.11268272816502732,0.11259371673197582,0.11378886182989427,0.102547471939816,0.10502796155714374,0.11062237236698276,0.11312732427534523,0.4174063668038124,0.00020051016677143834,0.004070363564864818,0.003185534733079484
1.0357542037963867,0.002707242965698242,0.11451361023641068,0.11481898926253768,"(10,)",0.00070170382867,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 0.00070170382867038299}",32,0.11577957598133594,0.11364018434648478,0.11310699751598752,0.11551656079152857,0.11354001978149751,0.11453622969866364,0.11697040651389036,0.11482116810262662,0.11317042307748983,0.11558080337338482,0.11233594548477263,0.0005113893674519799,0.0015727121311648888,0.0007122507319703315
0.4273383140563965,0.003007841110229492,0.11407904724254182,0.1147444327153492,"(10,)",0.0020309176209,"{'MLP__hidden_layer_sizes': (10,), 'MLP__learning_rate_init': 0.0020309176209047371}",38,0.11630516357486391,0.11528853507410497,0.11223200600995116,0.11462117747119552,0.11421157142102123,0.11420692136947459,0.11505317461516382,0.11343080314777038,0.11259108277655631,0.11617472651420052,0.03863403581728549,0.00044840739046544747,0.0015198801787119527,0.0009350423167759607
