mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.02417001724243164,1.0747421264648438,0.11273813296205114,0.1272506878610462,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",56,0.11117394127462306,0.1267056294633013,0.11346538435306794,0.12732956859361885,0.11409131577159166,0.12763479595695043,0.1127397389609801,0.12681504846341277,0.11222070624881218,0.1277683968279477,0.006466783821690571,0.021646925179879775,0.001007634974055245,0.00042629898321324615
0.02507185935974121,1.1564479351043702,0.11378720744072562,1.0,manhattan,19,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",31,0.11405184840192117,1.0,0.11360466648101347,1.0,0.1150237642226702,1.0,0.11346220372524433,1.0,0.11279220639371339,1.0,0.00477329392046697,0.062170473976042986,0.0007385956450136231,0.0
0.02165532112121582,1.119801139831543,0.11402852442126234,0.12646667976431322,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",27,0.11323778568030986,0.12628280943091152,0.11327513844338331,0.12606299361643167,0.114575754830234,0.12641430004836254,0.11463986283366315,0.12624948439821,0.11441530761182801,0.12732381132765036,0.0010252182093913097,0.02790951293459044,0.0006349896829935828,0.0004430265870272929
0.02196364402770996,1.1228206634521485,0.11466932856478847,1.0,manhattan,22,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",14,0.1147737031815689,1.0,0.11344012896789499,1.0,0.116051439443702,1.0,0.11528226354668639,1.0,0.11379854237330404,1.0,0.0013189205240240018,0.015101165553361016,0.0009556097694360566,0.0
0.024480152130126952,1.177479887008667,0.11356309150139304,0.12504564067975985,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",38,0.11423527901726731,0.12454271359843858,0.11351767121943118,0.12458380441639202,0.11400256328946673,0.12498548663341182,0.1130103327945375,0.12543543973897553,0.11304836223863468,0.12568075901158127,0.004240945924006008,0.02351225255368213,0.0004934752721533793,0.00045280580706545285
0.02196536064147949,1.2094014644622804,0.11439160551852505,1.0,manhattan,25,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'distance'}",20,0.11479484246528802,1.0,0.11358966228000635,1.0,0.11535529306062046,1.0,0.11423180053476742,1.0,0.11398568595319859,1.0,0.0011305648089823725,0.0360779549158139,0.000620486468347396,0.0
0.022364997863769533,1.2219744205474854,0.11362124505632193,0.1245888522029468,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",36,0.1150528135782615,0.124426849764771,0.11294738650177051,0.1239179561516837,0.11462741520314385,0.1243757529432154,0.11152790156653623,0.12542849205001133,0.11394892223358677,0.12479521010505257,0.001888315247341093,0.04116178553419626,0.0012653383326887888,0.000503852409464008
0.022661781311035155,1.2398220539093017,0.11430602262093272,1.0,manhattan,28,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",22,0.11515051303540284,1.0,0.11431576404146566,1.0,0.11554846286749255,1.0,0.11254796289862076,1.0,0.11396550935887927,1.0,0.002706511103778728,0.06251331373038271,0.0010452932969392508,0.0
0.02386317253112793,1.260040283203125,0.11307615415150842,0.12401532996171154,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",47,0.11441680445763212,0.1238693092019854,0.11306028071606002,0.12391755137998474,0.11257874848052431,0.12390469073282628,0.11188973820565884,0.12430456176313184,0.11343404123959856,0.12408053673062949,0.003467768452628923,0.02229982653254838,0.0008463445107473733,0.00016188311212067907
0.024171876907348632,1.248984956741333,0.11393701380935048,1.0,manhattan,31,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",30,0.11389995620889865,1.0,0.11383534545893828,1.0,0.11391001683692346,1.0,0.11299979606326573,1.0,0.11504051754853624,1.0,0.004072080836313673,0.042338671712628936,0.0006491863330080449,0.0
0.021156120300292968,1.2911046028137207,0.11369828006473379,0.1233424461053566,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",33,0.11387938194145582,0.12285039616764516,0.11297018807523011,0.12356442760573198,0.11379219612373251,0.12303693455606328,0.11277044276930977,0.12406186227917593,0.11507990724812034,0.12319860991816665,0.0002004862611366508,0.018401391971872877,0.0008172851441949777,0.000429645135980968
0.02245936393737793,1.295046043395996,0.1143544778305587,1.0,manhattan,34,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",21,0.11434437926113843,1.0,0.11476443407551701,1.0,0.11431867086457223,1.0,0.11338025137090801,1.0,0.11496468529235847,1.0,0.001719104592908423,0.029042599370484222,0.000545944184434289,0.0
0.02135953903198242,1.3833797931671143,0.11275464439042959,0.1229055596586339,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",55,0.11445816062273967,0.12206165071846506,0.11366476779391001,0.12360265500708977,0.11247434822985797,0.12243118131758877,0.11053454084021933,0.12329804954370097,0.11263893606626686,0.12313426170632487,0.0002426716356186011,0.06556054143037753,0.0013229986228404688,0.0005708786160098181
0.02105088233947754,1.3503189563751221,0.11442812546308136,1.0,manhattan,37,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'distance'}",19,0.11567206127734113,1.0,0.11428401549298967,1.0,0.11488738891783129,1.0,0.1132129854827258,1.0,0.11408235602167434,1.0,1.0957298735593744e-05,0.024556848912247242,0.0008216795387034436,0.0
0.020957803726196288,1.385815715789795,0.1134653521416677,0.1226302780915347,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",40,0.11422231156613588,0.12176285367871273,0.1140890695901002,0.12358045038817501,0.11355187357962052,0.12210772978706434,0.11143665876097103,0.12295596554026512,0.11402573687076135,0.12274439106345628,0.00020119418224823535,0.07013186757050248,0.001039015460379791,0.000639906762019034
0.022058439254760743,1.3717125415802003,0.11459918412186962,1.0,manhattan,40,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'distance'}",15,0.11467166111727711,1.0,0.1152844156530537,1.0,0.11509886973657388,1.0,0.11334456244240673,1.0,0.11459561230862936,1.0,0.0013819891869842546,0.01054556928361386,0.0006779510006213981,0.0
0.02115211486816406,1.4062926769256592,0.11363998194303894,0.1221733961167881,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",35,0.11309023609443777,0.12203013163010437,0.11452499867871678,0.12168707286407461,0.11272852537241312,0.12202514337945851,0.1131965194797347,0.12263825980687008,0.11466071394161105,0.12248637290343287,0.00020165643557973584,0.052133801056754074,0.0007942837664437933,0.00034440284921452666
0.022459650039672853,1.3793185710906983,0.11471737167013096,1.0,manhattan,43,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'distance'}",12,0.11473157187403263,1.0,0.11533292562307942,1.0,0.11426836772444827,1.0,0.11415947852621719,1.0,0.11509454850336143,1.0,0.0028253130107073433,0.04230574793260763,0.0004547742266518905,0.0
